iter	RMSE
0	66.12836536
1	63.53278405
2	61.11453304
3	58.85344973
4	56.78213087
5	54.88724802
6	53.1913598
7	51.59898453
8	50.18356118
9	48.88702992
10	47.67774307
11	46.55456833
12	45.55938606
13	44.68538426
14	43.85908292
15	43.12249443
16	42.45596643
17	41.83807659
18	41.27467502
19	40.80176899
20	40.36202391
21	39.94693876
22	39.58462368
23	39.26882186
24	38.96188297
25	38.68735123
26	38.46330328
27	38.24213408
28	38.06319292
29	37.89207657
30	37.74104127
31	37.60235016
32	37.47723836
33	37.35792808
34	37.24765739
35	37.14772052
36	37.06548936
37	36.99235871
38	36.91791117
39	36.85551671
40	36.79694156
41	36.7412777
42	36.68845696
43	36.64619938
44	36.59742151
45	36.55920403
46	36.52394023
47	36.49046177
48	36.46364329
49	36.4317438
50	36.40804649
51	36.38819407
52	36.36641191
53	36.34489572
54	36.32722506
55	36.30770383
56	36.2921155
57	36.27703971
58	36.25806999
59	36.24246942
60	36.22927861
61	36.21734666
62	36.20566482
63	36.18791468
64	36.17813723
65	36.1705088
66	36.15847365
67	36.14946164
68	36.13862462
69	36.13272467
70	36.12460783
71	36.11645733
72	36.10773044
73	36.09904844
74	36.09229885
75	36.084893
76	36.07594441
77	36.07156572
78	36.06285126
79	36.05020741
80	36.04786839
81	36.04228164
82	36.03441402
83	36.02959778
84	36.02345208
85	36.01532345
86	36.00794111
87	35.99782067
88	35.99310291
89	35.98729101
90	35.97808971
91	35.96785836
92	35.96323961
93	35.95939751
94	35.9480536
95	35.94109783
96	35.93450917
97	35.92824449
98	35.92112896
99	35.91649453
100	35.91234382
101	35.90336754
102	35.89631185
103	35.89119655
104	35.88586462
105	35.87974468
106	35.87210923
107	35.86758208
108	35.86470298
109	35.85927163
110	35.85184533
111	35.84593862
112	35.84254921
113	35.83757114
114	35.83388391
115	35.82983735
116	35.82560219
117	35.8228834
118	35.8141155
119	35.81109244
120	35.80449429
121	35.79499672
122	35.79154195
123	35.78799887
124	35.78332832
125	35.77636674
126	35.76765401
127	35.76334289
128	35.76148847
129	35.75872851
130	35.75530645
131	35.75122143
132	35.7389168
133	35.73709357
134	35.73394157
135	35.72974817
136	35.71669882
137	35.71176528
138	35.70814357
139	35.70478244
140	35.69930374
141	35.69209658
142	35.68455206
143	35.67556688
144	35.66688003
145	35.65980504
146	35.65073273
147	35.64430802
148	35.6371755
149	35.63421204
150	35.6244889
151	35.61798785
152	35.60851421
153	35.6027179
154	35.59761417
155	35.59434299
156	35.5877238
157	35.58194137
158	35.57952677
159	35.5766736
160	35.57414403
161	35.56793425
162	35.55940568
163	35.55356494
164	35.54795597
165	35.54323934
166	35.5387745
167	35.53203884
168	35.52655837
169	35.51766201
170	35.51515229
171	35.50896167
172	35.50238279
173	35.49373358
174	35.49119133
175	35.48519546
176	35.48208262
177	35.47662996
178	35.46636623
179	35.46360998
180	35.45352854
181	35.45102979
182	35.44314703
183	35.44117887
184	35.43674615
185	35.43480576
186	35.42193986
187	35.41707182
188	35.41177592
189	35.40471286
190	35.40094901
191	35.39142055
192	35.38409916
193	35.37956048
194	35.3741457
195	35.3720886
196	35.36261303
197	35.35921386
198	35.35512017
199	35.35309591
200	35.35037656
201	35.341754
202	35.33778136
203	35.33432161
204	35.33126917
205	35.3272344
206	35.31842922
207	35.30941923
208	35.30795509
209	35.30307147
210	35.2936305
211	35.28713726
212	35.28499467
213	35.2800106
214	35.27310589
