iter	Passed	Remaining
0	3	3237
1	6	3061
2	9	3077
3	12	3023
4	15	3026
5	17	2974
6	20	2960
7	23	2930
8	26	2925
9	29	2925
10	32	2928
11	35	2913
12	38	2897
13	40	2875
14	43	2872
15	46	2863
16	49	2848
17	51	2834
18	54	2827
19	57	2823
20	60	2832
21	63	2835
22	66	2831
23	69	2839
24	72	2837
25	75	2842
26	78	2830
27	80	2808
28	83	2791
29	85	2776
30	88	2760
31	90	2744
32	93	2731
33	95	2719
34	98	2705
35	100	2693
36	103	2682
37	105	2670
38	107	2661
39	110	2652
40	113	2651
41	116	2649
42	118	2645
43	121	2635
44	123	2626
45	126	2624
46	129	2624
47	132	2622
48	135	2623
49	137	2621
50	140	2622
51	143	2618
52	146	2618
53	149	2614
54	151	2606
55	154	2599
56	156	2590
57	158	2582
58	161	2582
59	164	2576
60	166	2568
61	169	2561
62	171	2553
63	174	2546
64	176	2542
65	179	2536
66	181	2531
67	184	2525
68	186	2520
69	189	2514
70	191	2508
71	194	2503
72	196	2496
73	199	2490
74	201	2483
75	203	2478
76	206	2471
77	208	2466
78	210	2459
79	213	2454
80	215	2447
81	218	2442
82	220	2437
83	223	2432
84	225	2427
85	228	2423
86	230	2420
87	233	2416
88	235	2412
89	238	2407
90	240	2402
91	242	2397
92	245	2393
93	247	2388
94	250	2384
95	252	2378
96	255	2374
97	257	2369
98	259	2365
99	262	2360
100	264	2356
101	267	2352
102	269	2348
103	272	2344
104	274	2341
105	277	2337
106	279	2334
107	282	2330
108	284	2326
109	287	2322
110	289	2318
111	291	2314
112	294	2310
113	296	2306
114	299	2302
115	301	2298
116	304	2294
117	306	2291
118	308	2287
119	311	2283
120	313	2279
121	316	2275
122	318	2272
123	321	2268
124	323	2265
125	326	2263
126	328	2260
127	331	2256
128	333	2253
129	336	2250
130	338	2246
131	341	2242
132	343	2238
133	345	2234
134	348	2231
135	350	2227
136	353	2223
137	355	2220
138	357	2216
139	360	2213
140	362	2209
141	365	2205
142	367	2202
143	370	2199
144	372	2196
145	375	2193
146	377	2191
147	380	2188
148	382	2185
149	385	2182
150	387	2179
151	390	2176
152	392	2173
153	395	2170
154	397	2167
155	399	2163
156	402	2160
157	404	2157
158	407	2153
159	409	2149
160	411	2146
161	414	2143
162	416	2140
163	419	2137
164	421	2134
165	424	2131
166	426	2128
167	429	2125
168	431	2122
169	434	2119
170	436	2116
171	438	2113
172	441	2109
173	443	2106
174	446	2103
175	448	2100
176	450	2096
177	453	2093
178	455	2090
179	458	2087
180	460	2084
181	463	2081
182	465	2078
183	467	2074
184	470	2071
185	472	2068
186	475	2065
187	477	2062
188	480	2059
189	482	2056
190	484	2053
191	487	2050
192	489	2047
193	491	2043
194	494	2040
195	496	2037
196	499	2034
197	501	2031
198	503	2028
199	506	2025
200	508	2022
201	511	2019
202	513	2017
203	516	2014
204	518	2011
205	521	2008
206	523	2005
207	526	2003
208	528	2000
209	530	1997
210	533	1994
211	535	1992
212	538	1989
213	540	1985
214	543	1982
215	545	1980
216	548	1977
217	550	1975
218	553	1972
219	555	1969
220	558	1967
221	560	1964
222	563	1962
223	565	1959
